Name,Categories,Images,Brand,SKU
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T183220.609-1.png,Americana,1110c2399acb
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T182802.967-1.png,Americana,b994f679a77c
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T182454.725-1.png,Americana,2347429d8db6
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T182246.477-1.png,Americana,dbb20b03a891
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T160038.763-1.png,Americana,7896bf5c2927
Americana Product,Dairy > Cheese,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T155757.873-1.png,Americana,3f15c7da4b49
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/a8434627-ba18-4e31-a2bd-8ecc6f804e52.png,Americana,59c7220709cb
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/361104-Americana-Oreintal-Spices-Kofta-500g-Pack-Design-F-3D.png,Americana,c12413a14379
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-62-1.png,Americana,a70d5a408f7f
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/6281050113597-Front.png,Americana,3218790e95ec
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-69-1.png,Americana,adf323a44f3e
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Mutton-Shish-Kebab-Arabic-Spices-420g-3D.png,Americana,6b4124c40eaf
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-71-1.png,Americana,8f069cbb7679
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/Beef-Shawerma-Original-2.png,Americana,85aaf3a8519d
